ID	NA-
A1BG	0
A1CF	0
A2M	2.222
A2ML1	2.292
A3GALT2	10.8928
A4GALT	2.5557
A4GNT	1.1216
AAAS	6.0392
AACS	2.3909
AADAC	21.0184
AADACL2	0.0753
AADACL3	0.4438
AADACL4	0.0858
AADAT	23.7715
AAGAB	0.0652
AAK1	98.1134
AAMDC	5.4562
AAMP	0
AANAT	1.8245
AAR2	2.6545
AARD	0
AARS1	34.9123
AARS2	23.8874
AARSD1	2.8932
AASDH	0.4305
AASDHPPT	0
AASS	126.5486
AATF	0
AATK	5.0851
ABAT	1.0925
ABCA1	49.2588
ABCA10	4.1368
ABCA12	0.1144
ABCA13	1.1135
ABCA2	1.6605
ABCA3	21.509
ABCA4	21.6208
ABCA5	2.0593
ABCA6	7.3467
ABCA7	6.8164
ABCA8	12.4036
ABCA9	5.294
ABCB1	15.771
ABCB10	18.5082
ABCB11	35.5159
ABCB4	0.4287
ABCB5	107.6152
ABCB6	10.0889
ABCB7	147.1124
ABCB8	1.4309
ABCB9	0.3368
ABCC1	17.2359
ABCC10	0.0396
ABCC11	1.096
ABCC12	19.2848
ABCC2	14.6854
ABCC3	156.6999
ABCC4	2.0785
ABCC5	32.9852
ABCC6	72.1125
ABCC8	27.2716
ABCC9	40.3319
ABCD1	46.0631
ABCD2	107.217
ABCD3	0.1665
ABCD4	23.1809
ABCE1	22.4298
ABCF1	134.2389
ABCF2	54.9868
ABCF2-H2BE1	2.6175
ABCF3	93.028
ABCG1	58.8177
ABCG2	87.7128
ABCG4	0.9771
ABCG5	218.0444
ABCG8	4.7976
ABHD1	0
ABHD10	11.0763
ABHD11	50.1254
ABHD12	215.7081
ABHD12B	25.0984
ABHD13	0.0654
ABHD14A	0
ABHD14A-ACY1	41.5373
ABHD14B	0.4173
ABHD15	12.0978
ABHD16A	0.2424
ABHD16B	2.1879
ABHD17A	33.2845
ABHD17B	3.0451
ABHD17C	8.5925
ABHD18	2.1835
ABHD2	0.1929
ABHD3	0.4492
ABHD4	18.1981
ABHD5	42.3644
ABHD6	9.3737
ABHD8	2.1155
ABI1	23.9752
ABI2	17.9357
ABI3	2.9073
ABI3BP	9.9899
ABITRAM	63.9653
ABL1	58.0875
